epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.8474,1.41122,0.3,1,1.40171,0.00012138,0.00012138,0.00012138
2,28.1238,1.26036,0.6,1,1.14641,0.000244952,0.000244952,0.000244952
3,39.6273,1.03466,0.78333,1,0.6825,0.000363435,0.000363435,0.000363435
4,52.5701,0.71706,0.96667,1,0.29679,0.000476828,0.000476828,0.000476828
5,64.5281,0.50142,1,1,0.10703,0.000585132,0.000585132,0.000585132
6,77.6893,0.30566,1,1,0.05766,0.000643314,0.000643314,0.000643314
7,90.7281,0.2478,1,1,0.02565,0.000629177,0.000629177,0.000629177
8,103.972,0.17952,0.96667,1,0.04174,0.00061504,0.00061504,0.00061504
9,119.352,0.15093,1,1,0.01279,0.000600902,0.000600902,0.000600902
10,134.42,0.23008,0.98333,1,0.01679,0.000586765,0.000586765,0.000586765
11,149.377,0.18587,1,1,0.00437,0.000572628,0.000572628,0.000572628
12,169.758,0.17182,1,1,0.00769,0.000558491,0.000558491,0.000558491
13,186.837,0.14052,1,1,0.00807,0.000544354,0.000544354,0.000544354
14,201.61,0.13612,1,1,0.0043,0.000530216,0.000530216,0.000530216
15,214.407,0.12702,0.98333,1,0.02778,0.000516079,0.000516079,0.000516079
16,226.538,0.11893,0.98333,1,0.01556,0.000501942,0.000501942,0.000501942
17,237.419,0.16878,0.98333,1,0.03029,0.000487805,0.000487805,0.000487805
18,248.902,0.15591,1,1,0.00821,0.000473668,0.000473668,0.000473668
19,262.144,0.11775,1,1,0.00382,0.00045953,0.00045953,0.00045953
20,274.826,0.16362,1,1,0.00225,0.000445393,0.000445393,0.000445393
21,288.259,0.13332,1,1,0.00187,0.000431256,0.000431256,0.000431256
22,302.896,0.08908,1,1,0.00154,0.000417119,0.000417119,0.000417119
23,315.723,0.09734,1,1,0.00121,0.000402982,0.000402982,0.000402982
24,328.821,0.10538,1,1,0.00102,0.000388844,0.000388844,0.000388844
25,340.238,0.13946,1,1,0.00078,0.000374707,0.000374707,0.000374707
26,352.585,0.1416,1,1,0.00154,0.00036057,0.00036057,0.00036057
27,365.44,0.09619,1,1,0.00202,0.000346433,0.000346433,0.000346433
28,378.541,0.13461,1,1,0.00147,0.000332296,0.000332296,0.000332296
29,389.791,0.12057,1,1,0.00117,0.000318158,0.000318158,0.000318158
30,403.894,0.13704,1,1,0.00172,0.000304021,0.000304021,0.000304021
31,415.458,0.10928,1,1,0.00153,0.000289884,0.000289884,0.000289884
32,426.909,0.06467,1,1,0.00101,0.000275747,0.000275747,0.000275747
33,440.466,0.05666,1,1,0.00072,0.00026161,0.00026161,0.00026161
34,452.386,0.08044,1,1,0.00059,0.000247472,0.000247472,0.000247472
35,464.12,0.08584,1,1,0.00064,0.000233335,0.000233335,0.000233335
36,477.574,0.10014,1,1,0.00072,0.000219198,0.000219198,0.000219198
37,491.045,0.07813,1,1,0.0007,0.000205061,0.000205061,0.000205061
38,504.935,0.06505,1,1,0.00069,0.000190924,0.000190924,0.000190924
39,517.538,0.0366,1,1,0.00059,0.000176786,0.000176786,0.000176786
40,530.434,0.07559,1,1,0.00048,0.000162649,0.000162649,0.000162649
41,544.271,0.1021,1,1,0.00051,0.000148512,0.000148512,0.000148512
42,556.468,0.12505,1,1,0.00048,0.000134375,0.000134375,0.000134375
43,570.022,0.0962,1,1,0.0004,0.000120238,0.000120238,0.000120238
44,582.228,0.09609,1,1,0.00046,0.0001061,0.0001061,0.0001061
45,594.878,0.06514,1,1,0.00043,9.19632e-05,9.19632e-05,9.19632e-05
46,606.38,0.06481,1,1,0.00046,7.7826e-05,7.7826e-05,7.7826e-05
47,618.007,0.07108,1,1,0.00043,6.36888e-05,6.36888e-05,6.36888e-05
48,629.937,0.1161,1,1,0.00046,4.95516e-05,4.95516e-05,4.95516e-05
49,648.928,0.0714,1,1,0.00038,3.54144e-05,3.54144e-05,3.54144e-05
50,666.643,0.11185,1,1,0.00036,2.12772e-05,2.12772e-05,2.12772e-05
